Year,Month,Rider Total,Female Total,Male Total,Undisclosed Total,Annual Members,Non Members,filename
2017,1,726676,152992,541849,31835,700465,23018,data/output\2017_ridership.csv
2017,2,791647,171785,567844,52018,741151,42916,data/output\2017_ridership.csv
2017,3,727665,153476,538751,35438,695752,26777,data/output\2017_ridership.csv
2017,4,1315404,287729,854852,172823,1126544,188860,data/output\2017_ridership.csv
2017,5,1523268,339408,1006280,177580,1333508,189760,data/output\2017_ridership.csv
2017,6,1731594,401253,1131930,198411,1516952,214642,data/output\2017_ridership.csv
2017,7,1735599,401021,1099384,235194,1473887,261712,data/output\2017_ridership.csv
2017,8,1816498,422385,1162011,232102,1558439,258059,data/output\2017_ridership.csv
2017,9,1878098,444132,1218524,215442,1643109,234989,data/output\2017_ridership.csv
2017,10,1897592,441805,1251346,204441,1692592,205000,data/output\2017_ridership.csv
2017,11,1330649,304200,930727,95722,1241353,89296,data/output\2017_ridership.csv
2017,12,889967,194802,651548,43617,855573,34394,data/output\2017_ridership.csv
2018,1,718994,151806,537589,29599,696886,22108,data/output\2018_ridership.csv
2018,2,843114,181266,621749,40099,809756,33358,data/output\2018_ridership.csv
2018,3,976672,212687,702533,61452,917637,59035,data/output\2018_ridership.csv
2018,4,1307543,293830,890184,123529,1158232,149311,data/output\2018_ridership.csv
2018,5,1824710,421304,1203816,199590,1582116,242594,data/output\2018_ridership.csv
2018,6,1953103,469544,1281908,201651,1694788,258315,data/output\2018_ridership.csv
2018,7,1913625,460279,1242546,210800,1628746,284879,data/output\2018_ridership.csv
2018,8,1977177,475485,1296312,205380,1703456,273721,data/output\2018_ridership.csv
2018,9,1877884,463433,1240964,173487,1616731,261153,data/output\2018_ridership.csv
2018,10,1878657,448785,1304230,125642,1686256,192401,data/output\2018_ridership.csv
2018,11,1260355,290368,902869,67118,1164813,95542,data/output\2018_ridership.csv
2018,12,1016505,223675,746622,46208,955408,61097,data/output\2018_ridership.csv
2019,1,967287,206028,727130,34129,927114,40173,data/output\2019_ridership.csv
2019,2,943744,203512,703464,36768,897393,46351,data/output\2019_ridership.csv
2019,3,1327960,293780,962603,71577,1221302,106658,data/output\2019_ridership.csv
2019,4,1766094,409285,1218551,138258,1536661,229433,data/output\2019_ridership.csv
2019,5,1924563,462613,1293779,168171,1629997,294566,data/output\2019_ridership.csv
2019,6,2125370,527577,1399108,198685,1752526,372844,data/output\2019_ridership.csv
2019,7,2181064,543928,1441107,196029,1803055,378009,data/output\2019_ridership.csv
2019,8,2344224,588431,1530272,225521,1900359,443865,data/output\2019_ridership.csv
2019,9,2444900,626859,1612056,205985,2010493,434407,data/output\2019_ridership.csv
2019,10,2092573,512899,1425934,153740,1796820,295753,data/output\2019_ridership.csv
2019,11,1478708,351188,1042505,85015,1326216,152492,data/output\2019_ridership.csv
2019,12,955210,212896,695884,46430,877585,77625,data/output\2019_ridership.csv
2020,1,1240596,279106,904522,56968,1145819,94777,data/output\2020_ridership.csv
2020,2,1146830,257077,833076,56677,1054927,91903,data/output\2020_ridership.csv
2020,3,1068457,263862,722979,81616,914068,154389,data/output\2020_ridership.csv
2020,4,682762,191812,412624,78326,516495,166267,data/output\2020_ridership.csv
2020,5,1487890,460580,817093,210217,1012059,475831,data/output\2020_ridership.csv
2020,6,1882273,586361,1044621,251291,1306688,575585,data/output\2020_ridership.csv
2020,7,2105808,633377,1199865,272566,1530982,574826,data/output\2020_ridership.csv
2020,8,2329514,690802,1330772,307940,1671914,657600,data/output\2020_ridership.csv
2020,9,2488225,746443,1436049,305733,1817674,670551,data/output\2020_ridership.csv
2020,10,2248869,654838,1335176,258855,1702115,546754,data/output\2020_ridership.csv
2020,11,1736704,496999,1057855,181850,1362408,374296,data/output\2020_ridership.csv
2020,12,1088929,290616,703775,94538,920617,168312,data/output\2020_ridership.csv
